id,name,gender,language,praise_text,meaning,category,keywords
1,Ade,male,yoruba,Ọmọ ọlọ́lá ọmọ akín ọmọ a kì í bẹ̀rù ogun Ade ọmọ ẹni tí ń jẹ́ kí ìdílé rẹ̀ láyọ̀ Ade ọmọ ẹni tí a fi ade ṣe ọlá Ade tí wọ́n bí láti inú ọlá àti ìyìn Ade ọmọ aládé tí ń rìn bí ọba,Child of royalty and bravery,royalty,brave;royal
2,Tunde,male,yoruba,Ọmọ tí a tún bí l'ọlá,One who is reborn into honor,honor,rebirth;honor
3,Sade,female,yoruba,Ọmọ ọlọ́lá aya ọba tí ń tan imọlẹ,Princess who shines like light,royalty,queen;light
4,Kunle,male,yoruba,Akín ọmọ jagunjagun tí ń gba ogun ja,Brave warrior who fights battles,warrior,war;strength
5,Yemi,unisex,yoruba,Ọmọ rere tí gbogbo ayé fẹ́,Good child loved by all,virtue,kindness;love
6,Bola,female,yoruba,Ọmọ ọlọ́lá tí ń gbe ade ayé,Child of wealth who carries the crown,wealth,wealth;crown
7,Femi,male,yoruba,Ọmọ tí gbogbo ènìyàn fẹ́ràn,One who is loved by everyone,love,kindness;people
8,Ayo,unisex,yoruba,Ọmọ ayọ̀ tí ń mú inú dùn,Child of joy who brings happiness,joy,happiness;peace
9,Kemi,female,yoruba,Ọmọ rere tí ń mú ìbùkún wá,Good child that brings blessings,blessing,blessing;goodness
10,Segun,male,yoruba,Akín tí ń ṣẹ́gun gbogbo ọ̀tá,Warrior who conquers enemies,warrior,victory;strength
12,Abike,female,yoruba,Abíke ọmọ tí a bí láti tọ́jú ọmọ tí a gbé lórí ìyàjẹ́ tí a kò fẹ́ kí ó jìyà Abíke tí a fi ọwọ́ rọ́ra gbé tí a fi ìfẹ́ yí ká Ọmọ tí ìyá ń sunkún ayọ̀ sí tí baba ń pe ní ọmọ ìyebíye Abíke tí kò gbọdọ̀ mọ ìrora ayé ọmọ tí a fi aṣọ àlà ṣe ìbọ̀rí tí a fi ọ̀rọ̀ rere kọ́ Abíke ẹni tí gbogbo ilé ń bójú tó tí gbogbo aráyé ń fẹ́ràn ọmọ tí a bí láti jẹ́ ayọ̀ ilé tí kò ní mọ ìnira Abíke alárinká tí ń tan ìmọ̀lẹ̀ ìfẹ́ ọmọ tí ìyìn ń tọ̀ lé tí ayé ń gbé ga ọmọ tí kò ní ṣubú nínú ayé Abíke ọmọ rere tí gbogbo ènìyàn ń yìn,Child born to be pampered and cherished,precious,care;love;protection
13,Olayemi,female,yoruba,Oláyẹmí ẹni tí ọlá yẹ mí ọmọ tí a bí wá sínú ọlá àti ọ̀la Oláyẹmí tí ayé ń fi ọlá yìn tí gbogbo ènìyàn ń fẹ́ràn ọmọ tí ìbùkún tẹ̀ lé láti ìkùn tí a bí láti jẹ́ ìyìn ilé Oláyẹmí tí kò mọ ìtìjú tí ń rìn pẹ̀lú ọlá ọmọ tí orí rẹ̀ dára tí ayé gbà Oláyẹmí ẹni tí ọlá kì í fi sílẹ̀ tí ìbùkún ń tọ̀ lé ní gbogbo ibi ọmọ tí a fi ayọ̀ gbé tí kò ní ṣubú nínú ayé Oláyẹmí alárinká tí ń tan ìmọ̀lẹ̀ ọlá ọmọ ẹni tí gbogbo ilé ń yìn tí ayé ń bọ̀wọ̀ fún Oláyẹmí tí gbogbo ọjọ́ rẹ̀ kún fún ìrẹ̀lẹ̀ àti ọlá ọmọ rere tí kò ní bàjẹ́ láé,Child whom wealth and honor befit,prosperity,honor;wealth;blessing
